date,close
2000-01-03,100.22000122
2000-01-04,100.41000366
2000-01-05,100.37999725
2000-01-06,100.65000153
2000-01-07,100.80000305
2000-01-10,100.98999786
2000-01-11,100.55999756
2000-01-12,100.62000275
2000-01-13,101.00000000
2000-01-14,101.72000122
2000-01-17,102.05000305
2000-01-18,101.86000061
2000-01-19,101.76000214
2000-01-20,101.36000061
2000-01-21,101.76000214
2000-01-24,102.19999695
2000-01-25,102.41000366
2000-01-26,102.44000244
2000-01-27,103.16999817
2000-01-28,104.48000336
2000-01-31,105.12999725
2000-02-01,104.91999817
2000-02-02,104.79000092
2000-02-03,103.80000305
2000-02-04,104.29000092
2000-02-07,104.63999939
2000-02-08,104.22000122
2000-02-09,103.68000031
2000-02-10,104.12999725
2000-02-11,104.19000244
2000-02-14,104.72000122
2000-02-15,104.69000244
2000-02-16,104.27999878
2000-02-17,104.26999664
2000-02-18,104.62999725
2000-02-21,104.58000183
2000-02-22,103.27999878
2000-02-23,103.52999878
2000-02-24,104.01000214
2000-02-25,105.26000214
2000-02-28,105.26999664
2000-02-29,105.91999817
2000-03-01,104.88999939
2000-03-02,105.65000153
2000-03-03,106.00000000
2000-03-06,106.16000366
2000-03-07,106.08999634
2000-03-08,105.93000031
2000-03-09,105.37000275
2000-03-10,105.70999908
2000-03-13,105.50000000
2000-03-14,105.30000305
2000-03-15,105.37999725
2000-03-16,105.18000031
2000-03-17,105.19999695
2000-03-20,105.15000153
2000-03-21,105.80999756
2000-03-22,106.04000092
2000-03-23,105.23000336
2000-03-24,104.76999664
2000-03-27,105.44999695
2000-03-28,105.52999878
2000-03-29,106.25000000
2000-03-30,105.47000122
2000-03-31,105.44000244
2000-04-03,105.54000092
2000-04-04,105.16999817
2000-04-05,105.29000092
2000-04-06,105.51999664
2000-04-07,105.97000122
2000-04-10,105.68000031
2000-04-11,105.94000244
2000-04-12,105.95999908
2000-04-13,106.13999939
2000-04-14,105.75000000
2000-04-17,106.12999725
2000-04-18,106.62999725
2000-04-19,107.12999725
2000-04-20,107.44999695
2000-04-24,107.27999878
2000-04-25,108.69000244
2000-04-26,108.55000305
2000-04-27,109.56999969
2000-04-28,110.13999939
2000-05-01,109.62999725
2000-05-02,110.26000214
2000-05-03,111.26000214
2000-05-04,111.80000305
2000-05-05,111.30999756
2000-05-08,111.44999695
2000-05-09,110.75000000
2000-05-10,110.80000305
2000-05-11,111.51999664
2000-05-12,109.90000153
2000-05-15,110.55999756
2000-05-16,111.30999756
2000-05-17,112.09999847
2000-05-18,112.20999908
2000-05-19,111.47000122
2000-05-22,111.05999756
2000-05-23,111.13999939
2000-05-24,111.22000122
2000-05-25,110.75000000
2000-05-26,109.12000275
2000-05-30,108.93000031
2000-05-31,108.73999786
2000-06-01,109.05000305
2000-06-02,108.12000275
2000-06-05,107.45999908
2000-06-06,106.58999634
2000-06-07,106.18000031
2000-06-08,106.70999908
2000-06-09,106.98999786
2000-06-12,106.97000122
2000-06-13,106.40000153
2000-06-14,106.45999908
2000-06-15,106.87999725
2000-06-16,105.95999908
2000-06-19,106.33000183
2000-06-20,106.33000183
2000-06-21,107.43000031
2000-06-22,107.70999908
