date,open,settle,front_id
2000-08-23,31.950000762939453,32.04999923706055,CL=F
2000-08-24,31.899999618530273,31.6299991607666,CL=F
2000-08-25,31.700000762939453,32.04999923706055,CL=F
2000-08-28,32.040000915527344,32.869998931884766,CL=F
2000-08-29,32.81999969482422,32.720001220703125,CL=F
2000-08-30,32.75,33.400001525878906,CL=F
2000-08-31,33.25,33.099998474121094,CL=F
2000-09-01,33.04999923706055,33.380001068115234,CL=F
2000-09-05,33.95000076293945,33.79999923706055,CL=F
2000-09-06,33.9900016784668,34.95000076293945,CL=F
2000-09-07,34.5,35.33000183105469,CL=F
2000-09-08,34.54999923706055,33.70000076293945,CL=F
2000-09-11,33.79999923706055,35.099998474121094,CL=F
2000-09-12,35.45000076293945,34.20000076293945,CL=F
2000-09-13,34.0,33.79999923706055,CL=F
2000-09-14,33.779998779296875,34.099998474121094,CL=F
2000-09-15,34.5,35.849998474121094,CL=F
2000-09-18,36.20000076293945,36.880001068115234,CL=F
2000-09-19,36.54999923706055,36.5,CL=F
2000-09-20,37.5,37.5,CL=F
2000-09-21,34.650001525878906,33.95000076293945,CL=F
2000-09-22,34.0,32.650001525878906,CL=F
2000-09-25,31.399999618530273,31.56999969482422,CL=F
2000-09-26,32.0,31.5,CL=F
2000-09-27,31.950000762939453,31.5,CL=F
2000-09-28,31.100000381469727,30.299999237060547,CL=F
2000-09-29,30.700000762939453,30.860000610351562,CL=F
2000-10-02,31.450000762939453,32.150001525878906,CL=F
2000-10-03,32.0,32.06999969482422,CL=F
2000-10-04,31.600000381469727,31.5,CL=F
2000-10-05,30.850000381469727,30.649999618530273,CL=F
2000-10-06,30.75,30.850000381469727,CL=F
2000-10-09,31.549999237060547,31.8799991607666,CL=F
2000-10-10,32.25,33.150001525878906,CL=F
2000-10-11,33.599998474121094,33.150001525878906,CL=F
2000-10-12,35.0,36.099998474121094,CL=F
2000-10-13,35.93000030517578,35.04999923706055,CL=F
2000-10-16,34.400001525878906,33.099998474121094,CL=F
2000-10-17,32.70000076293945,32.95000076293945,CL=F
2000-10-18,33.54999923706055,33.54999923706055,CL=F
2000-10-19,33.849998474121094,32.95000076293945,CL=F
2000-10-20,33.29999923706055,34.29999923706055,CL=F
2000-10-23,33.0,33.72999954223633,CL=F
2000-10-24,33.75,33.369998931884766,CL=F
2000-10-25,33.5,32.959999084472656,CL=F
2000-10-26,33.650001525878906,33.75,CL=F
2000-10-27,33.68000030517578,32.70000076293945,CL=F
2000-10-30,32.75,32.810001373291016,CL=F
2000-10-31,32.72999954223633,32.689998626708984,CL=F
2000-11-01,33.150001525878906,33.20000076293945,CL=F
2000-11-02,32.75,32.540000915527344,CL=F
2000-11-03,32.599998474121094,32.599998474121094,CL=F
2000-11-06,32.400001525878906,32.86000061035156,CL=F
2000-11-07,33.04999923706055,33.400001525878906,CL=F
