date,close
2000-09-01,0.97640002
2000-09-05,0.97970003
2000-09-06,0.99659997
2000-09-07,1.02950001
2000-09-08,0.99489999
2000-09-11,1.04980004
2000-09-12,1.04799998
2000-09-13,1.01069999
2000-09-14,1.00740004
2000-09-15,1.03100002
2000-09-18,1.04200006
2000-09-19,1.01999998
2000-09-20,1.01849997
2000-09-21,1.00000000
2000-09-22,0.95550001
2000-09-25,0.94000000
2000-09-26,0.93500000
2000-09-27,0.94800001
2000-09-28,0.91299999
2000-09-29,0.93000001
2000-10-02,0.96050000
2000-10-03,0.96350002
2000-10-04,0.96340001
2000-10-05,0.92720002
2000-10-06,0.93300003
2000-10-09,0.95490003
2000-10-10,0.99599999
2000-10-11,1.01600003
2000-10-12,1.07700002
2000-10-13,1.01699996
2000-10-16,0.97250003
2000-10-17,0.96020001
2000-10-18,0.96619999
2000-10-19,0.94889998
2000-10-20,0.97109997
2000-10-23,0.99900001
2000-10-24,0.99440002
2000-10-25,0.97719997
2000-10-26,0.98740000
2000-10-27,0.97770000
2000-10-30,0.96499997
2000-10-31,0.94000000
2000-11-01,0.94090003
2000-11-02,0.93180001
2000-11-03,0.92170000
2000-11-06,0.91689998
2000-11-07,0.94929999
2000-11-08,0.95929998
2000-11-09,1.01999998
2000-11-10,1.00750005
2000-11-13,1.01629996
2000-11-14,1.05410004
2000-11-15,1.07710004
2000-11-16,1.05599999
2000-11-17,1.07879996
2000-11-20,1.10000002
2000-11-21,1.09599996
2000-11-22,1.09440005
2000-11-27,1.08200002
2000-11-28,1.02400005
2000-11-29,1.03250003
2000-11-30,1.04999995
2000-12-01,0.97100002
2000-12-04,1.00839996
2000-12-05,0.97649997
2000-12-06,1.01220000
2000-12-07,0.99290001
2000-12-08,0.94470000
2000-12-11,0.98299998
2000-12-12,0.96149999
2000-12-13,0.91000003
2000-12-14,0.88849998
2000-12-15,0.91799998
2000-12-18,0.92500001
2000-12-19,0.91369998
2000-12-20,0.85600001
2000-12-21,0.85500002
2000-12-22,0.87800002
2000-12-26,0.93400002
2000-12-27,0.93709999
2000-12-28,0.89499998
2000-12-29,0.90660000
2001-01-02,0.86580002
2001-01-03,0.85979998
2001-01-04,0.86119998
2001-01-05,0.86250001
2001-01-08,0.82599998
2001-01-09,0.80620003
2001-01-10,0.84990001
2001-01-11,0.83999997
2001-01-12,0.84210002
2001-01-16,0.84079999
2001-01-17,0.81500000
2001-01-18,0.84149998
2001-01-19,0.87970001
2001-01-22,0.87900001
2001-01-23,0.86220002
2001-01-24,0.82220000
2001-01-25,0.83010000
2001-01-26,0.84560001
2001-01-29,0.81199998
2001-01-30,0.80030000
2001-01-31,0.79500002
2001-02-01,0.77840000
2001-02-02,0.82200003
2001-02-05,0.81110001
2001-02-06,0.80919999
2001-02-07,0.82800001
2001-02-08,0.84179997
2001-02-09,0.82239997
2001-02-12,0.80140001
2001-02-13,0.79000002
2001-02-14,0.77249998
2001-02-15,0.75900000
2001-02-16,0.76010001
2001-02-20,0.74800003
2001-02-21,0.74250001
2001-02-22,0.73900002
2001-02-23,0.74100000
2001-02-26,0.74779999
2001-02-27,0.74650002
2001-02-28,0.72250003
2001-03-01,0.71550000
2001-03-02,0.72700000
2001-03-05,0.74080002
2001-03-06,0.73030001
2001-03-07,0.74100000
2001-03-08,0.73350000
2001-03-09,0.72909999
2001-03-12,0.73299998
2001-03-13,0.72899997
2001-03-14,0.70400000
2001-03-15,0.70649999
2001-03-16,0.70200002
2001-03-19,0.67500001
2001-03-20,0.68449998
2001-03-21,0.71300000
2001-03-22,0.72600001
2001-03-23,0.76300001
2001-03-26,0.75999999
2001-03-27,0.77800000
2001-03-28,0.75000000
2001-03-29,0.77999997
2001-03-30,0.70450002
2001-04-02,0.67400002
2001-04-03,0.69559997
2001-04-04,0.72659999
2001-04-05,0.73650002
2001-04-06,0.72829998
2001-04-09,0.73799998
2001-04-10,0.79140002
2001-04-11,0.79589999
2001-04-12,0.78049999
2001-04-16,0.81870002
2001-04-17,0.80119997
2001-04-18,0.78189999
2001-04-19,0.78460002
2001-04-20,0.76999998
2001-04-23,0.75150001
2001-04-24,0.73740000
2001-04-25,0.75300002
2001-04-26,0.77620000
2001-04-27,0.75739998
2001-04-30,0.74699998
2001-05-01,0.76470000
2001-05-02,0.74360001
2001-05-03,0.76580000
2001-05-04,0.76569998
2001-05-07,0.74800003
2001-05-08,0.74890000
2001-05-09,0.76770002
2001-05-10,0.76819998
2001-05-11,0.76050001
2001-05-14,0.75250000
2001-05-15,0.76630002
2001-05-16,0.77520001
2001-05-17,0.78390002
2001-05-18,0.80440003
2001-05-21,0.81220001
2001-05-22,0.80890000
2001-05-23,0.81529999
2001-05-24,0.79409999
2001-05-25,0.78179997
2001-05-29,0.77469999
2001-05-30,0.77600002
2001-05-31,0.77950001
2001-06-01,0.75919998
2001-06-04,0.75919998
2001-06-05,0.76950002
2001-06-06,0.76639998
2001-06-07,0.75919998
2001-06-08,0.76650000
2001-06-11,0.78270000
2001-06-12,0.80170000
2001-06-13,0.80140001
2001-06-14,0.83279997
2001-06-15,0.80449998
2001-06-18,0.77100003
2001-06-19,0.77440000
2001-06-20,0.74150002
2001-06-21,0.74239999
2001-06-22,0.73390001
2001-06-25,0.73890001
2001-06-26,0.73189998
2001-06-27,0.69940001
2001-06-28,0.69940001
2001-06-29,0.71249998
2001-07-02,0.71079999
2001-07-03,0.71600002
2001-07-05,0.72390002
2001-07-06,0.73780000
2001-07-09,0.72790003
2001-07-10,0.72329998
2001-07-11,0.70590001
2001-07-12,0.70670003
2001-07-13,0.68739998
2001-07-16,0.68809998
2001-07-17,0.68690002
2001-07-18,0.67250001
2001-07-19,0.66799998
2001-07-20,0.68110001
2001-07-23,0.68390000
2001-07-24,0.68769997
2001-07-25,0.70870000
2001-07-26,0.71890002
2001-07-27,0.71310002
2001-07-30,0.70590001
2001-07-31,0.69730002
2001-08-01,0.70429999
2001-08-02,0.73250002
2001-08-03,0.72619998
2001-08-06,0.72560000
2001-08-07,0.73430002
2001-08-08,0.73060000
2001-08-09,0.73640001
2001-08-10,0.74390000
2001-08-13,0.74190003
2001-08-14,0.75019997
2001-08-15,0.74519998
2001-08-16,0.74150002
2001-08-17,0.70700002
2001-08-20,0.71350002
2001-08-21,0.72990000
2001-08-22,0.72820002
2001-08-23,0.73720002
2001-08-24,0.74599999
2001-08-27,0.75010002
2001-08-28,0.77480000
2001-08-29,0.76569998
2001-08-30,0.75250000
2001-08-31,0.76630002
