year,winter_nov_apr,summer_may_oct,gap_w_minus_s
1989,0.12980822909123013,0.11877615258488294,0.011032076506347188
1990,-0.01181454160008899,-0.06373667758309498,0.05192213598300599
1991,0.25622855616751194,0.06267329877860983,0.1935552573889021
1992,0.07306900689197238,0.024685724431818157,0.04838328246015422
1993,0.06604750674613413,0.07821950573018754,-0.012171998984053412
1994,-0.023217307098618356,0.06334213962594659,-0.08655944672456495
1995,0.10468297339595711,0.14459690199369368,-0.03991392859773657
1996,0.13762754945167566,0.0908189601428202,0.04680858930885545
1997,0.14715937036583826,0.15164676856356984,-0.004487398197731585
1998,0.22491804715110764,-0.004087247417328799,0.22900529456843643
1999,0.22322300777478943,0.027362408891008272,0.19586059888378116
2000,0.07194785061924458,-0.01029144830391926,0.08223929892316384
2001,-0.12067046637216361,-0.14599032677809531,0.025319860405931705
2002,0.02309171259515419,-0.17022292840676234,0.19331464100191653
2003,0.04477593078839881,0.15623231539896465,-0.11145638461056584
2004,0.06272979220128971,0.029633559879008065,0.03309623232228165
2005,0.032786276280074356,0.05268337893713482,-0.01989710265706046
2006,0.0963926527701402,0.06111970713754289,0.03527294563259731
2007,0.0859925716347043,0.054879412017229345,0.03111315961747496
2008,-0.09635802175645636,-0.29282273588047936,0.196464714124023
2009,-0.0852784222262366,0.20041932294156428,-0.2856977451678009
2010,0.1566323848833422,0.007391737185767022,0.14924064769757517
2011,0.16359087880782486,-0.07110451672224993,0.2346953955300748
2012,0.12774702508442526,0.021565644722425503,0.10618138036199976
2013,0.1442384876660261,0.1114500055686567,0.0327884820973694
2014,0.08360813924983135,0.08220359378082764,0.001404545469003704
2015,0.0439648041140992,0.007691759705860335,0.036273044408238864
2016,0.004339543347757324,0.040574778754949525,-0.0362352354071922
2017,0.1332043001539045,0.09099811485145826,0.04220618530244624
2018,0.03818654868331284,0.03397820813728103,0.004208340546031808
2019,0.09764797053956831,0.04155544875727424,0.05609252178229407
2020,-0.03161074119645224,0.1329187853011633,-0.16452952649761554
2021,0.2885473682501034,0.10910830843771335,0.17943905981239006
2022,-0.09645374096237624,-0.054957963565803514,-0.04149577739657273
2023,0.08634569910060064,0.01388386055216051,0.07246183854844013
2024,0.20981944675936792,0.1408078826519239,0.06901156410744402
2025,-0.017396758845640625,0.23602709182856474,-0.25342385067420536
